"id_fs","lib_fs"
"125","France services La Poste de Vico"
"126","France services La Poste de Calacuccia"
"127","France services La Poste de Castello-di-Rostino"
"128","France services Is-sur-Tille"
"129","France services Semur-en-Auxois"
"130","France services Arnay-le-Duc"
"131","France services Pontailler-sur-Saône"
"132","France services Mirebeau-sur-Bèze"
"133","France services Saint-Brieuc"
"134","France services Tréguier"
"135","France services Le Mené"
"136","France services Loudéac"
"137","France services Boussac"
"138","France services de Dun- Le Palestel - LaPalette"
"139","France services Pays de Belvès"
"140","France services Thenon Hautefort"
"141","France services La Poste de Lanouaille"
"142","France services Nontron"
"143","France services Thenon Hautefort - Antenne de Hautefort"
"144","France services Mussidan"
"145","France services Saint-Exupéry"
"146","France services Besançon Planoise"
"147","France services Baume les Dames"
"149","France services Montbéliard"
"150","France services Amancey"
"151","France services Premiers Sapins"
"152","France services Sochaux"
"153","France services Gilley"
"154","France services Valdahon"
"155","France services Die"
"156","France services Saint-Jean-en-Royans"
"157","France services Livron"
"158","France services Pimms Médiation Portes de Provence"
"159","France services Evreux Portes de Normandie"
"160","France services Étrépagny"
"161","France services Beaumont-le-Roger"
"162","France services Rugles"
"163","France services Trinité-de-Réville"
"164","France services Gaillon"
"165","France services Andelys"
"166","France services La Loupe"
"167","France services Senonches - La Ferté-Vidâme"
"168","France services Authon-du-Perche"
"169","France services La Poste d'Ouessant"
"170","France services Pimms Médiation Quimper Cornouaille"
"172","France services Châteaulin"
"173","France services Pimms Médiation Brest - Pontanézen"
"174","France services Roquemaure"
"175","France services Relais emploi intercommunal du Pont du Gard - Remoulins"
"176","France services Aigues Mortes"
"177","France services CALADE Calvisson"
"178","France services CALADE Sommières"
"179","France services Cèze Cévennes - Saint-Ambroix"
"180","France services Pimms Médiation Nîmes"
"181","France services Auterive - CC Bassin Auterivain"
"182","France services Val'Aïgo - Villemur-sur-Tarn"
"183","France services Rieumes - CC Cœur de Garonne"
"184","France services Nailloux - CC Terres du Lauragais"
"185","France services Val'Aïgo - Antenne de Bessières"
"186","France services Val de Gers"
"187","France services La Poste de Plaisance du Gers"
"188","France services Artagnan en Fezensac"
"189","France services Val de Gers - Antenne de Seissan"
"190","France services Val de Gers - Antenne de Barran"
"191","France services Fleurance"
"192","France services Lectoure"
"193","France services de Sainte-Foy-la-Grande"
"194","France services Blaye"
"195","France services La Poste de Rauzan"
"196","France services Cussac Fort Médoc"
"197","France services de Sainte-Eulalie"
"198","France services Pessac"
"199","France services Lacanau"
"200","France services Captieux"
"201","Bus France services MSA du Languedoc"
"202","France services Castries"
"203","France services Hérault Méditerranée - Agde"
"204","France services Vignobles et Languedoc - Antenne de Bédarieux"
"205","France services Capestang"
"206","France services Grand Pic Saint-Loup"
"207","France services Sérignan"
"208","France services Les Avant-Monts"
"209","France services Béziers - La Grangette"
"210","France services Bédarieux"
"211","France services Lodevois et Larzac"
"212","France services Pimms Médiation Rennes"
"213","France services de la Bretagne Romantique - Combourg"
"214","France services Communauté de communes de Saint-Méen-Montauban"
"215","France services Fougères"
"216","France services La Poste de Sens-de-Bretagne"
"217","France services de Pipriac"
"218","France services La Poste de Pleine-Fougères"
"219","France services La Poste de Mesnil-Roc'h"
"220","France services d'Aigurande"
"221","France services de Vatan"
"222","France services Brenne Box"
"224","France services La Poste de Chaillac"
"225","France services de Valençay"
"226","France services Chateau Renault"
"227","France services Richelieu"
"228","France services Descartes"
"229","France services Montlouis-sur-Loire"
